dino_small,convnext_small.fb_in22k,vit_small_patch16_224.augreg_in1k,vit_base_patch16_224.augreg_in1k,dino_base,dino_large,vit_base_patch16_clip_224.openai,vit_large_patch14_clip_224.openai,vit_base_patch16_clip_224.laion2b,vit_large_patch14_clip_224.laion2b,vit_huge_patch14_clip_224.laion2b,convnext_tiny.fb_in1k,convnext_small.fb_in1k,convnext_base.fb_in1k,convnext_large.fb_in1k,convnext_tiny.fb_in22k,convnext_base.fb_in22k,convnext_large.fb_in22k,convnext_base.clip_laion2b,convnext_large_mlp.clip_laion2b_augreg,convnext_xxlarge.clip_laion2b_soup,vit_tiny_in22k,vit_small_in22k,vit_base_in22k,vit_large_in22k,vit_huge_in22k,dino_giant,vit_giant_patch14_clip_224.laion2b,resnet50.a1_in1k,resnet50_clip.openai,resnet18.a1_in1k,resnet101.a1_in1k,resnet101_clip.openai,vit_small_patch16_224.dino,vit_base_patch16_224.dino,dinov3_small,dinov3_base,dinov3_large,dinov3_convnext_tiny,dinov3_convnext_small,dinov3_convnext_base,dinov3_convnext_large,dinov3_huge,cornet,dinov3_7b
22056576,49453152,21664896,85797120,86580480,304368640,85797888,303177728,85797888,303177728,630763520,27818592,49453152,87564416,196227264,27818592,87564416,196227264,87564416,196227264,843391872,5561472,21813504,86389248,304351232,632404480,1136480768,1011201024,23508032,23527264,11176512,42500160,42519392,21664896,85797120,21596544,85660416,303129600,27820128,49454688,87566464,196230336,840592640,52903616,6716035072
LVD-142M,in22k,in1k,in1k,LVD-142M,LVD-142M,openai-400m,openai-400m,laion2b,laion2b,laion2b,in1k,in1k,in1k,in1k,in22k,in22k,in22k,laion2b,laion2b,laion2b,in22k,in22k,in22k,in22k,in22k,LVD-142M,laion2b,in1k,openai-400m,in1k,in1k,openai-400m,in1k,in1k,LVD-1689M,LVD-1689M,LVD-1689M,LVD-1689M,LVD-1689M,LVD-1689M,LVD-1689M,LVD-1689M,in1k,LVD-1689M
