Feature,mean,std,significant,Color
training_method,0.06520151644828039,0.028638247040682418,False,#888
backbone,0.16527529050413658,0.05174960205255972,True,#5A509B
number_parameters,0.13249743988722312,0.04883526732854661,False,#888
train_set_size,1.589475045384683,0.33417191439199206,True,#5A509B
