"reference","greys"
"./stimuli/cost-7/1610555638.39J2ZWBLuLTHP0jOlzB4tNHmYeijH5g5YJ.png",3.67462158203125
"./stimuli/cost-7/1610555638.44hjT5hbYdKoE3MB6hijrjqbjmLgvCUYKD.png",4.16307067871094
"./stimuli/cost-7/1610555644.45Xse8u7pusHNsd7F3d0A32HXvXr6weOJE.png",9.1961669921875
"./stimuli/cost-7/1610556032.17Q6yCDx9g7alRnL9jBFXD2JhhUyB2hKfJ.png",9.3912353515625
"./stimuli/cost-7/1610556038.62a5C4ynd1AARyAhTv8a58NCqHvXRjscqH.png",7.62626647949219
"./stimuli/cost-7/1610557007.49MyVgDnuUuBxrvL6SGOdhKf69VYlW1MSm.png",9.36972045898438
"./stimuli/cost-8/1610555733.38zItcuH7gHNfKdALR2d9Nek6bxCyw36Vm.png",9.44802856445312
"./stimuli/cost-8/1610555982.186TY6MMGkDecIN1woW6vsfAMXVV7jnyjO.png",6.5384521484375
"./stimuli/cost-8/1610555982.673LuMndkwkvdmZOn0MmE2Pkidx0FtNalb.png",9.68736267089844
"./stimuli/cost-8/1610555987.13v0oleKK97pkesp6oMgprH8SoSdoDVdIO.png",7.58625793457031
"./stimuli/cost-8/1610555987.13VQlEedQ50VvkPMEMzZDv3KNnQCewykN9.png",6.43818664550781
"./stimuli/cost-8/1610556038.62gKXOCG7XCn55eJvyl5voNjbwOW0znQDq.png",6.98298645019531
"./stimuli/cost-8/1610556964.96ZLLeiQW0qpmxhPGTg7K03fmzkqsC2bjC.png",9.55615234375
"./stimuli/cost-9/1610555639.37BPZpgtGml8qUsh9AdV4m32jPLfI2aNFq.png",16.4399566650391
"./stimuli/cost-9/1610555983.54zteLPCMjyrjzPdhHhlZr3faCgD0TfYr3.png",8.65289306640625
"./stimuli/cost-9/1610555987.79rHnNRmt9a0ufmnwCvZqBouyUoZDNpylW.png",12.4041748046875
"./stimuli/cost-9/1610556034.15BQxSbZINGCay0yp6RBVlgcPrw76Yn9ON.png",7.29911804199219
"./stimuli/cost-9/1610556035.13a7NHZDutfTMJ88qle1gTYY59Dr4WmMsj.png",6.99569702148438
"./stimuli/cost-9/1610556960.041xWER61rmArlsKfiMl4frikWmUCnQ7op.png",14.0900726318359
"./stimuli/cost-9/1610556965.57S0adAalhWYe6K3bkZU0bRHbqnDK8gGkR.png",9.09065246582031
