reference,n.turn,n.concat,n.trace,n.repeat,n.move,n.subprogram,n.next,n.fracp,n.fracn,n.pos,n.neg,n.nondef
./stimuli/cost-11/1610556966.74DydzH91jtyvRyYau47JpVkZoMRSNTt01.png,0,1,2,0,0,0,5,1,0,0,1,3
./stimuli/cost-11/1610556034.61bebeZA0MkaFG2sm3VKiqrxeqQginTTW0.png,0,1,1,1,1,0,5,1,0,0,0,2
./stimuli/cost-11/1610556034.63XsUwaFaPZevO1JNFjfhvY4aKNFnV4noV.png,0,1,1,1,1,0,5,1,0,0,0,2
./stimuli/cost-11/1610556944.5XwXOphKYT3ZkWA8gViqOS97VHVuMVUqb.png,0,1,2,0,0,0,5,1,0,1,0,3
./stimuli/cost-11/1610556964.89xwBHw9faT1HjQRMNQEyA4qJ3hWkwgj3k.png,0,1,2,0,0,0,3,1,1,0,0,4
./stimuli/cost-8/1610555987.13v0oleKK97pkesp6oMgprH8SoSdoDVdIO.png,0,1,2,0,0,0,2,1,0,1,0,3
./stimuli/cost-8/1610555987.13VQlEedQ50VvkPMEMzZDv3KNnQCewykN9.png,0,1,2,0,0,0,2,1,0,0,1,3
./stimuli/cost-8/1610555982.186TY6MMGkDecIN1woW6vsfAMXVV7jnyjO.png,0,1,2,0,0,0,2,1,0,1,0,3
./stimuli/cost-8/1610556038.62gKXOCG7XCn55eJvyl5voNjbwOW0znQDq.png,0,1,2,1,0,0,2,1,0,0,0,2
./stimuli/cost-8/1610555982.673LuMndkwkvdmZOn0MmE2Pkidx0FtNalb.png,0,1,2,0,0,0,4,0,0,1,1,2
./stimuli/cost-8/1610555733.38zItcuH7gHNfKdALR2d9Nek6bxCyw36Vm.png,1,1,1,1,0,0,1,1,0,1,0,3
./stimuli/cost-8/1610556964.96ZLLeiQW0qpmxhPGTg7K03fmzkqsC2bjC.png,0,1,2,0,0,0,1,1,0,2,0,4
./stimuli/cost-10/1610556032.15OYCzUxpsz7b10AXBAuDXrvEcvxFhf0M7.png,1,1,1,1,0,0,3,1,0,1,0,3
./stimuli/cost-10/1610555987.03z05P26TLtONYM1HSzupoc2CeNMa6HTqr.png,0,1,2,0,0,0,2,1,1,0,0,4
./stimuli/cost-10/1610556032.63Z80yI9pNwS3jSmsDABbuhf8wkNa2Ze9y.png,1,1,1,1,0,0,3,0,1,0,1,3
./stimuli/cost-10/1610555760.24e6890pkbyZ97Or6croI1rQgjkSsR0yVt.png,1,1,1,1,0,0,3,0,1,0,0,3
./stimuli/cost-10/1610556043.02YpWMIJg3W004iqlPyv8OcVAZdSC5rNYw.png,1,1,1,2,0,0,3,1,0,0,0,2
./stimuli/cost-10/1610555736.28eGuESasTXdR3SqY6pHhEXWZtcdciYLCO.png,0,0,1,2,0,0,3,1,0,1,0,3
./stimuli/cost-10/1610556890.456ZBDaY16bMtrTZTqAgHl3wq1tRxzqDow.png,0,1,2,0,0,1,4,0,1,0,0,2
./stimuli/cost-12/1610556123.88AOfNaz9jSnqU5Czc7okOv1RCrYfKFBTo.png,1,1,1,1,0,0,5,0,1,0,0,3
./stimuli/cost-12/1610556046.85nB7NvyoYQeLcOV391Lmmut1wAM8CFGLw.png,0,0,1,2,0,0,5,1,0,1,0,3
./stimuli/cost-12/1610555740.87GOYQUJKpkynIS2lFqppYK4b32ol7NeGh.png,0,0,1,1,0,0,6,0,1,1,0,3
./stimuli/cost-12/1610556137.99eoPuVrDThKAOvmeprLPb2FWRqIhzUodc.png,1,1,1,1,0,0,5,1,0,0,0,3
./stimuli/cost-12/1610555740.73XFwSrmTXJPlaxGZSefh0jOVA8PI3III1.png,0,0,1,1,0,0,6,1,0,1,0,3
./stimuli/cost-12/1610556123.89H4pdIAzDthI7bMXMhlIhKUYIQIvtmPPQ.png,1,1,1,1,0,0,5,0,1,0,0,3
./stimuli/cost-12/1610556046.84e3vwjyRCzqz0wJQhrk8zsxlFfFSv98Df.png,0,0,1,2,0,0,5,1,0,1,0,3
