,costs,mean_residual,sem_residual
0,1.0,-144.94511994587174,
1,2.0,-397.6335987955099,
2,3.0,1.0411874970618555,101.58264012494463
3,4.0,-80.08227228671139,90.48158411944351
4,5.0,-240.06925021289297,106.90144811115469
5,6.0,-35.39381865204616,107.34219228896069
6,7.0,-181.94662901809752,58.543936307010625
7,8.0,64.87400623404672,70.20761651427078
8,9.0,54.21956260054367,62.197664519672195
9,10.0,-5.49466910630008,161.48283377725272
10,11.0,215.8454881866903,120.57287258480184
11,12.0,285.11260457622836,119.36334544717732
