"reference","Nex","Ni2","Ni3","Ni4","closure","Ndis","spatial_freq"
"./stimuli/cost-7/1610556038.62a5C4ynd1AARyAhTv8a58NCqHvXRjscqH.png",0,0,0,0,1,1,-0.232161107021558
"./stimuli/cost-8/1610555733.38zItcuH7gHNfKdALR2d9Nek6bxCyw36Vm.png",2,1,0,1,1,1,0.734154106107768
"./stimuli/cost-8/1610555982.673LuMndkwkvdmZOn0MmE2Pkidx0FtNalb.png",1,0,1,0,1,1,0.568662032271548
"./stimuli/cost-8/1610555987.13v0oleKK97pkesp6oMgprH8SoSdoDVdIO.png",1,0,1,0,1,1,0.543283824248992
"./stimuli/cost-8/1610556038.62gKXOCG7XCn55eJvyl5voNjbwOW0znQDq.png",2,0,0,0,0,1,0.29873287918118
"./stimuli/cost-8/1610556964.96ZLLeiQW0qpmxhPGTg7K03fmzkqsC2bjC.png",2,0,0,1,1,1,0.748241090257239
"./stimuli/cost-8/1610555987.13VQlEedQ50VvkPMEMzZDv3KNnQCewykN9.png",1,0,1,0,1,1,0.423372924247409
"./stimuli/cost-8/1610555982.186TY6MMGkDecIN1woW6vsfAMXVV7jnyjO.png",2,0,0,0,0,1,0.440698934186981
"./stimuli/cost-9/1610556960.041xWER61rmArlsKfiMl4frikWmUCnQ7op.png",1,0,1,0,1,1,1.02428547439268
"./stimuli/cost-9/1610556965.57S0adAalhWYe6K3bkZU0bRHbqnDK8gGkR.png",2,0,0,1,1,1,0.687399421214791
"./stimuli/cost-9/1610555639.37BPZpgtGml8qUsh9AdV4m32jPLfI2aNFq.png",0,0,0,4,1,1,0.494997900537227
"./stimuli/cost-9/1610555987.79rHnNRmt9a0ufmnwCvZqBouyUoZDNpylW.png",1,0,1,0,1,1,0.924653309322154
"./stimuli/cost-9/1610556035.13a7NHZDutfTMJ88qle1gTYY59Dr4WmMsj.png",4,0,0,0,0,2,0.599780209046927
"./stimuli/cost-9/1610556034.15BQxSbZINGCay0yp6RBVlgcPrw76Yn9ON.png",4,0,0,0,0,2,0.602931872139285
"./stimuli/cost-9/1610555983.54zteLPCMjyrjzPdhHhlZr3faCgD0TfYr3.png",2,0,0,0,0,1,0.625742987367023
"./stimuli/cost-10/1610556043.02YpWMIJg3W004iqlPyv8OcVAZdSC5rNYw.png",2,3,0,3,1,1,-0.24780920355408
"./stimuli/cost-10/1610556890.456ZBDaY16bMtrTZTqAgHl3wq1tRxzqDow.png",2,1,0,0,0,1,-0.193465160331371
"./stimuli/cost-10/1610555987.03z05P26TLtONYM1HSzupoc2CeNMa6HTqr.png",2,0,0,0,0,1,0.142267039709434
"./stimuli/cost-10/1610556032.63Z80yI9pNwS3jSmsDABbuhf8wkNa2Ze9y.png",0,2,0,0,1,1,0.0187129012354421
